DATA,SURSA_FURNIZOR,SURSA_DEPOZIT,AGENT,DESTINATIE_FURNIZOR,DESTINATIE_DEPOZIT,SURSA_DEPOZIT_JUDET,ROR_COD,OUG5_2015,OUG5_2015_ANEXA4,GRUPA,ARTICOL_NUME,SURSA_CANTITATE,SURSA_GREUTATE,AVIZ_NIR,TRANSPORT_ID,CANTITATE_RECEPTIONATA,GREUTATE_RECEPTIONATA,CANTITATE_B,GREUTATE_B,MOTIV_COLECTARE,MOTIV_COLECTARE_SURSA,NUMAR,PRODUCATOR,SURSA_NUME,SURSA_JUDET,TIP_INTRARE
1/12/21,REMATEX,REMATEX,SISTEM LOCAL DE COLECTARE - CENTRU S.R.L. ,SISTEM LOCAL DE COLECTARE - CENTRU S.R.L. ,Centru Colectare Zalau,Salaj,20 01 35*,3D,2,ECRANE,Monitoare CRT,2,24,201361,15824,2,45,,,REMAT; ,,,,,,intrare prin NIR
1/12/21,REMATEX,REMATEX,SISTEM LOCAL DE COLECTARE - CENTRU S.R.L. ,SISTEM LOCAL DE COLECTARE - CENTRU S.R.L. ,Centru Colectare Zalau,Salaj,20 01 35*,3D_1,2,ECRANE,Monitoare LCD,1,8,201361,15824,1,7,,,REMAT; ,,,,,,intrare prin NIR
1/12/21,REMATEX,REMATEX,SISTEM LOCAL DE COLECTARE - CENTRU S.R.L. ,SISTEM LOCAL DE COLECTARE - CENTRU S.R.L. ,Centru Colectare Zalau,Salaj,20 01 35*,4B,2,ECRANE,Televizoare CRT,9,225,201361,15824,9,122,,,REMAT; ,,,,,,intrare prin NIR
1/12/21,REMATEX,REMATEX,SISTEM LOCAL DE COLECTARE - CENTRU S.R.L. ,SISTEM LOCAL DE COLECTARE - CENTRU S.R.L. ,Centru Colectare Zalau,Salaj,20 01 35*,4B_1,2,ECRANE,Televizoare LCD,5,100,201361,15824,5,87,,,REMAT; ,,,,,,intrare prin NIR
1/12/21,ROYAL DISTRIBUTION S.R.L.,ROYAL JIBOU,SISTEM LOCAL DE COLECTARE - CENTRU S.R.L. ,SISTEM LOCAL DE COLECTARE - CENTRU S.R.L. ,Centru Colectare Zalau,Salaj,20 01 23*,1B_1,1,C&F,Aparate frigorifice cu continut pentan,2,92,201358,15823,,,,,Magazin; ,CASARE,,,,,intrare prin NIR
1/12/21,ROYAL DISTRIBUTION S.R.L.,ROYAL JIBOU,SISTEM LOCAL DE COLECTARE - CENTRU S.R.L. ,SISTEM LOCAL DE COLECTARE - CENTRU S.R.L. ,Centru Colectare Zalau,Salaj,20 01 36,1H,4,LDA,Masini de gatit,1,33,201358,15823,1,43,,,Magazin; ,CASARE,,,,,intrare prin NIR
1/12/21,ROYAL DISTRIBUTION S.R.L.,ROYAL JIBOU,SISTEM LOCAL DE COLECTARE - CENTRU S.R.L. ,SISTEM LOCAL DE COLECTARE - CENTRU S.R.L. ,Centru Colectare Zalau,Salaj,20 01 36,1E,4,LDA,Masini de spalat ,6,306,201358,15823,,,,,Magazin; ,CASARE,,,,,intrare prin NIR
1/12/21,,,,SISTEM LOCAL DE COLECTARE - CENTRU S.R.L. ,Centru Colectare Zalau,Salaj,20 01 36,1K,5,SDA,Cuptoare cu microunde,,,201347,,9,120,,,SLC,,,,Zalau,Salaj,intrare initiala
1/12/21,,,,SISTEM LOCAL DE COLECTARE - CENTRU S.R.L. ,Centru Colectare Zalau,Salaj,20 01 36,1K,5,SDA,Cuptoare cu microunde,,,201349,,3,35,,,MINICARAVANA,,,, Vârșolț,Salaj,intrare initiala
1/12/21,,,,SISTEM LOCAL DE COLECTARE - CENTRU S.R.L. ,Centru Colectare Zalau,Salaj,20 01 35*,3D,2,ECRANE,Monitoare CRT,,,201356,,12,172,,,SLC,,,,Zalau,Salaj,intrare initiala
1/12/21,,,,SISTEM LOCAL DE COLECTARE - CENTRU S.R.L. ,Centru Colectare Zalau,Salaj,20 01 35*,3D_1,2,ECRANE,Monitoare LCD,,,201356,,2,8,,,SLC,,,,Zalau,Salaj,intrare initiala
